               0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28
      10     n/a 1:0.000 2:0.560 2:0.532 2:0.571 1:0.560 2:0.537 1:0.524 2:0.527 1:0.495 1:0.501 1:0.505 1:0.511 2:0.510 2:0.493 2:0.495 2:0.496 2:0.503 1:0.504 2:0.515 1:0.504 2:0.559 1:0.494 2:0.466 1:0.562 1:0.566 1:0.634 1:0.704 1:0.755
      11     n/a 2:0.667 1:0.444 1:0.503 1:0.553 1:0.502 1:0.511 1:0.493 2:0.474 1:0.490 1:0.508 1:0.512 1:0.513 1:0.489 1:0.481 1:0.500 2:0.495 1:0.470 1:0.510 2:0.524 1:0.522 2:0.502 2:0.482 1:0.429 1:0.492 2:0.564 2:0.612 1:0.670 1:0.739
      12     n/a 2:1.000 1:0.540 2:0.466 2:0.580 1:0.546 2:0.529 1:0.510 1:0.503 2:0.513 1:0.518 1:0.502 2:0.500 1:0.502 1:0.522 1:0.475 2:0.512 1:0.497 1:0.516 1:0.531 2:0.479 2:0.480 1:0.473 1:0.392 2:0.503 2:0.594 1:0.631 1:0.675 1:0.718
      13     n/a 1:0.000 1:0.588 2:0.511 2:0.531 1:0.471 1:0.465 2:0.511 2:0.503 1:0.483 1:0.535 1:0.522 1:0.522 1:0.497 1:0.509 1:0.473 1:0.476 1:0.490 2:0.499 1:0.490 1:0.506 1:0.509 2:0.477 1:0.437 1:0.483 2:0.591 2:0.620 1:0.700 1:0.703
      14     n/a 2:1.000 2:0.385 1:0.525 1:0.480 1:0.465 1:0.440 1:0.569 1:0.473 1:0.539 1:0.492 1:0.528 2:0.509 1:0.533 2:0.504 2:0.496 2:0.497 2:0.492 1:0.483 2:0.498 2:0.527 1:0.507 2:0.452 1:0.448 1:0.503 1:0.563 2:0.594 1:0.662 2:0.745
      15     n/a 2:0.000 2:0.487 1:0.597 2:0.465 1:0.543 2:0.521 1:0.506 2:0.504 1:0.516 1:0.511 1:0.497 2:0.526 2:0.536 1:0.530 2:0.545 1:0.522 2:0.521 2:0.535 2:0.515 2:0.535 2:0.499 2:0.473 2:0.457 1:0.492 2:0.576 2:0.621 2:0.684 2:0.724
      16     n/a     n/a 1:0.400 2:0.438 1:0.544 1:0.555 1:0.473 1:0.514 2:0.532 2:0.493 2:0.491 2:0.497 2:0.540 1:0.509 2:0.567 1:0.544 1:0.492 2:0.524 1:0.507 1:0.549 1:0.514 1:0.512 1:0.461 2:0.447 2:0.510 2:0.589 2:0.637 2:0.689 1:0.726
      17     n/a     n/a 1:0.375 2:0.556 2:0.455 2:0.452 1:0.480 2:0.447 2:0.502 1:0.517 2:0.545 1:0.486 2:0.558 1:0.513 1:0.509 2:0.506 1:0.503 1:0.485 1:0.488 2:0.557 2:0.550 2:0.553 2:0.486 2:0.469 2:0.521 2:0.555 1:0.591 1:0.673 2:0.688
      18     n/a     n/a 1:0.750 2:0.545 1:0.480 2:0.471 1:0.500 2:0.481 1:0.514 1:0.517 2:0.503 1:0.504 2:0.522 1:0.492 2:0.529 2:0.501 2:0.521 1:0.467 2:0.514 2:0.532 1:0.492 2:0.535 2:0.500 2:0.466 2:0.537 2:0.583 1:0.632 2:0.638 1:0.702
      19     n/a     n/a 1:0.667 1:0.600 2:0.636 1:0.490 2:0.500 1:0.477 2:0.500 2:0.521 2:0.494 2:0.505 2:0.497 2:0.507 2:0.493 1:0.462 2:0.512 2:0.494 2:0.508 2:0.500 2:0.535 2:0.517 2:0.507 2:0.458 1:0.488 1:0.547 2:0.571 1:0.642 1:0.688
      20     n/a     n/a 1:0.400 2:0.556 2:0.733 1:0.490 2:0.351 2:0.447 1:0.436 2:0.506 2:0.526 2:0.510 2:0.489 2:0.474 2:0.497 2:0.494 2:0.471 2:0.519 2:0.490 2:0.511 2:0.522 2:0.510 2:0.536 2:0.470 2:0.472 2:0.525 2:0.566 1:0.626 1:0.663
      21     n/a     n/a 1:1.000 1:0.400 1:0.385 2:0.524 1:0.474 1:0.500 1:0.474 2:0.478 1:0.475 2:0.513 1:0.530 1:0.508 1:0.504 2:0.504 1:0.510 1:0.523 1:0.503 1:0.523 1:0.523 1:0.542 1:0.479 1:0.433 1:0.514 1:0.549 1:0.621 1:0.650 1:0.716
      22     n/a     n/a 2:1.000 1:0.571 1:0.625 2:0.500 1:0.697 1:0.679 1:0.467 1:0.601 1:0.547 1:0.583 1:0.595 1:0.513 1:0.539 1:0.540 1:0.578 1:0.549 1:0.568 1:0.573 1:0.625 1:0.572 1:0.549 1:0.495 1:0.536 1:0.615 1:0.687 1:0.695 1:0.752
      23     n/a     n/a 1:0.000 1:0.500 1:0.900 1:0.800 1:0.615 1:0.541 1:0.444 1:0.659 1:0.657 1:0.616 1:0.633 1:0.612 1:0.641 1:0.616 1:0.641 1:0.614 1:0.629 1:0.646 1:0.653 1:0.602 1:0.603 1:0.593 1:0.602 1:0.676 1:0.703 1:0.774 1:0.796
      24     n/a     n/a     n/a 1:1.000 1:0.800 1:0.778 1:0.556 1:0.559 1:0.562 1:0.573 1:0.550 1:0.541 1:0.548 1:0.544 1:0.526 1:0.556 1:0.573 1:0.562 1:0.568 1:0.589 1:0.565 1:0.547 1:0.534 1:0.530 1:0.548 1:0.612 1:0.648 1:0.698 1:0.731
      25     n/a     n/a     n/a 1:1.000 2:0.200 1:0.333 1:0.286 1:0.556 1:0.429 1:0.397 1:0.500 1:0.540 1:0.551 1:0.564 1:0.512 1:0.496 1:0.510 1:0.514 1:0.479 1:0.489 1:0.494 1:0.507 1:0.521 1:0.468 1:0.508 1:0.537 1:0.590 1:0.580 1:0.640
      26     n/a     n/a     n/a 1:0.000 1:0.167 2:0.500 1:0.333 1:0.600 1:0.517 1:0.540 1:0.459 1:0.385 1:0.464 1:0.432 1:0.477 1:0.490 1:0.453 1:0.474 1:0.406 1:0.459 1:0.451 1:0.439 1:0.480 1:0.446 1:0.449 1:0.490 1:0.494 1:0.506 1:0.574
      27     n/a     n/a     n/a 2:0.000 1:0.000 1:0.600 1:0.375 1:0.300 1:0.280 1:0.372 1:0.306 1:0.362 1:0.451 1:0.456 1:0.385 1:0.401 1:0.403 1:0.402 1:0.405 1:0.383 1:0.381 1:0.443 1:0.422 1:0.410 1:0.416 1:0.436 1:0.432 1:0.450 1:0.473
      28     n/a     n/a     n/a     n/a 1:1.000 1:0.750 1:0.200 1:0.500 1:0.333 1:0.263 1:0.333 1:0.365 1:0.355 1:0.326 1:0.386 1:0.284 1:0.370 1:0.348 1:0.342 1:0.376 1:0.388 1:0.384 1:0.410 1:0.376 1:0.377 1:0.387 1:0.368 1:0.398 1:0.388
